City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vanimo,PG,86.18,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
2,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
5,Libreville,GA,77.02,moderate rain,0.3925,9.4537,Hotel Re-Ndama
9,Nizwa,OM,83.17,clear sky,22.9333,57.5333,Orient Apartments
10,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
12,Hithadhoo,MV,81.66,overcast clouds,-0.6,73.0833,Scoop Guest House
16,Lorengau,PG,86.23,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
21,Puerto Madero,MX,77.2,broken clouds,14.7208,-92.4215,Hotel La Central
29,Bengkulu,ID,79.12,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
30,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
32,Bilma,NE,80.26,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
33,Sadiqabad,PK,89.22,clear sky,28.3062,70.1307,MIDWAY HOTEL & RESTAURANT
36,Butaritari,KI,83.61,broken clouds,3.0707,172.7902,Isles Sunset Lodge
38,Atuona,PF,78.26,clear sky,-9.8,-139.0333,Villa Enata
45,Victoria,HK,84.96,broken clouds,22.2855,114.1577,Mini Hotel Central
57,Ha Tinh,VN,75.31,overcast clouds,18.3333,105.9,Phú Quý
62,Sinnamary,GF,79.03,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
69,San Patricio,US,75.81,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
70,Georgetown,MY,87.89,broken clouds,5.4112,100.3354,Cititel Penang
72,Palmas Bellas,PA,77.34,overcast clouds,9.2319,-80.0867,Estación de Chagres
79,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
80,Ponta Do Sol,PT,76.01,overcast clouds,32.6667,-17.1,Hotel do Campo
81,Hobyo,SO,79.18,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
91,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
92,Eyl,SO,79.3,scattered clouds,7.9803,49.8164,Amiin Hotel
95,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
97,Caraballeda,VE,81.37,broken clouds,10.6112,-66.8522,Hotel 15 Letras
104,Umm Lajj,SA,78.31,clear sky,25.0213,37.2685,Moon light Furnished Units
108,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
115,Bubaque,GW,82.74,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
119,Nishihara,JP,78.08,broken clouds,26.1842,127.7558,Minshuku Agaihama
120,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
124,Port Macquarie,AU,77.9,few clouds,-31.4333,152.9167,Rydges Port Macquarie
132,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
140,Turbat,PK,84.42,clear sky,26.0023,63.044,Mubashar Quarters
148,Ambon,ID,87.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
155,Les Cayes,HT,78.53,broken clouds,18.2,-73.75,Villa Orphee
159,Rikitea,PF,75.54,clear sky,-23.1203,-134.9692,People ThankYou
