City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vanimo,PG,-2.6741,141.3028,86.18,68,94,9.95,overcast clouds
1,Mount Isa,AU,-20.7333,139.5,103.77,13,40,5.75,scattered clouds
2,Saint-Pierre,RE,-21.3393,55.4781,76.68,57,0,4.61,clear sky
3,Hilo,US,19.7297,-155.09,74.93,86,90,5.75,overcast clouds
4,Zhuji,CN,29.7188,120.2423,66.88,58,98,6.67,overcast clouds
5,Libreville,GA,0.3925,9.4537,77.02,100,75,9.22,moderate rain
6,Ushuaia,AR,-54.8,-68.3,42.46,65,20,5.75,few clouds
7,Chany,RU,55.3121,76.7647,46.53,70,94,7.87,overcast clouds
8,Kidal,ML,18.4411,1.4078,80.76,39,16,3.56,few clouds
9,Nizwa,OM,22.9333,57.5333,83.17,20,6,0.22,clear sky
10,Mahebourg,MU,-20.4081,57.7,76.24,70,80,14.32,broken clouds
11,Lata,PT,40.1629,-8.3327,65.8,84,34,3.4,scattered clouds
12,Hithadhoo,MV,-0.6,73.0833,81.66,71,91,7.18,overcast clouds
13,San Rafael,AR,-34.6177,-68.3301,61.81,27,0,6.4,clear sky
14,Albany,US,42.6001,-73.9662,44.8,85,37,3.0,scattered clouds
15,Espanola,US,35.9911,-106.0806,61.23,28,6,11.61,clear sky
16,Lorengau,PG,-2.0226,147.2712,86.23,66,59,11.52,broken clouds
17,Norman Wells,CA,65.282,-126.8329,17.47,94,38,3.18,scattered clouds
18,Bluff,NZ,-46.6,168.3333,47.77,58,80,25.37,broken clouds
19,Klaksvik,FO,62.2266,-6.589,52.72,94,99,16.15,overcast clouds
20,Jamestown,US,42.097,-79.2353,51.39,74,1,4.0,clear sky
21,Puerto Madero,MX,14.7208,-92.4215,77.2,100,75,4.61,broken clouds
22,Hobart,AU,-42.8794,147.3294,59.02,50,75,1.99,broken clouds
23,East London,ZA,-33.0153,27.9116,55.31,71,15,4.7,few clouds
24,Puerto Ayora,EC,-0.7393,-90.3518,69.87,86,68,7.36,broken clouds
25,Saskylakh,RU,71.9167,114.0833,23.79,96,100,1.41,light snow
26,Waipawa,NZ,-41.4122,175.5153,57.83,57,13,13.27,few clouds
27,Port Elizabeth,ZA,-33.918,25.5701,53.02,74,1,6.6,clear sky
28,Codrington,AU,-38.2667,141.9667,55.85,56,19,11.92,few clouds
29,Bengkulu,ID,-3.8004,102.2655,79.12,80,100,1.01,overcast clouds
30,Touros,BR,-5.1989,-35.4608,76.1,78,35,13.31,scattered clouds
31,Barrow,US,71.2906,-156.7887,8.62,78,90,10.36,overcast clouds
32,Bilma,NE,18.6853,12.9164,80.26,17,25,6.76,scattered clouds
33,Sadiqabad,PK,28.3062,70.1307,89.22,10,0,9.15,clear sky
34,Cape Town,ZA,-33.9258,18.4232,55.09,39,0,9.35,clear sky
35,Bredasdorp,ZA,-34.5322,20.0403,49.28,86,0,4.45,clear sky
