City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chernyshevskiy,RU,2021-10-12 22:30:46,63.0128,112.4714,18.14,74,74,8.46
1,Port Alfred,ZA,2021-10-12 22:30:47,-33.5906,26.891,61.99,86,91,2.39
2,Rikitea,PF,2021-10-12 22:30:47,-23.1203,-134.9692,74.32,73,71,8.79
3,Kochubey,RU,2021-10-12 22:30:47,44.3861,46.5825,59.5,69,81,17.18
4,Puerto Ayora,EC,2021-10-12 22:30:48,-0.7393,-90.3518,76.96,86,58,8.01
5,Cabo San Lucas,MX,2021-10-12 22:30:48,22.8909,-109.9124,84.51,72,40,5.99
6,Ushuaia,AR,2021-10-12 22:28:21,-54.8,-68.3,53.26,40,75,20.71
7,Albany,US,2021-10-12 22:30:49,42.6001,-73.9662,68.99,78,17,1.99
8,Flinders,AU,2021-10-12 22:30:49,-34.5833,150.8552,60.26,85,100,7.56
9,Provideniya,RU,2021-10-12 22:30:49,64.3833,-173.3,33.91,64,0,15.66
10,Hilo,US,2021-10-12 22:28:35,19.7297,-155.09,80.8,93,90,8.05
11,Vila,PT,2021-10-12 22:30:50,42.0304,-8.1588,55.92,41,2,4.09
12,Lebu,CL,2021-10-12 22:30:50,-37.6167,-73.65,52.97,87,30,5.86
13,Chuy,UY,2021-10-12 22:30:50,-33.6971,-53.4616,60.87,96,39,6.78
14,San Cristobal,VE,2021-10-12 22:30:51,7.7669,-72.225,80.78,97,100,4.29
15,Hithadhoo,MV,2021-10-12 22:30:51,-0.6,73.0833,82.65,76,100,16.49
16,Kahului,US,2021-10-12 22:29:42,20.8947,-156.47,87.06,78,40,26.46
17,Portland,US,2021-10-12 22:27:02,45.5234,-122.6762,56.28,67,90,1.01
18,Mataura,NZ,2021-10-12 22:30:51,-46.1927,168.8643,44.33,86,100,5.32
19,De-Kastri,RU,2021-10-12 22:30:52,51.4667,140.7833,47.82,67,99,3.62
20,Regina,CA,2021-10-12 22:28:01,50.4501,-104.6178,42.8,58,90,9.22
21,Nikolskoye,RU,2021-10-12 22:30:52,59.7035,30.7861,42.87,86,94,5.41
22,Margate,GB,2021-10-12 22:26:11,51.3813,1.3862,52.88,71,63,1.99
23,Kodiak,US,2021-10-12 22:29:51,57.79,-152.4072,45.91,66,90,6.91
24,Gopalpur,IN,2021-10-12 22:30:53,19.2667,84.9167,78.42,84,47,6.2
25,Auce,LV,2021-10-12 22:30:53,56.4598,22.9017,41.45,95,18,5.08
26,Papara,BR,2021-10-12 22:30:53,-3.9839,-38.7273,79.2,82,82,4.45
27,Atuona,PF,2021-10-12 22:30:54,-9.8,-139.0333,78.31,71,11,16.31
28,Avarua,CK,2021-10-12 22:30:54,-21.2078,-159.775,78.85,69,20,12.66
29,Bluff,NZ,2021-10-12 22:30:54,-46.6,168.3333,46.04,70,100,15.03
30,Upernavik,GL,2021-10-12 22:30:55,72.7868,-56.1549,34.02,93,97,7.74
31,Airai,TL,2021-10-12 22:30:55,-8.9266,125.4092,68.95,63,94,2.33
32,Busselton,AU,2021-10-12 22:30:55,-33.65,115.3333,47.05,80,61,6.85
33,Tual,ID,2021-10-12 22:30:57,-5.6667,132.75,83.05,75,35,0.58
34,Shingu,JP,2021-10-12 22:30:57,33.7333,135.9833,75.02,85,100,5.01
35,Maarianhamina,AX,2021-10-12 22:30:57,60.0973,19.9348,42.66,100,40,4.61
36,Kaitangata,NZ,2021-10-12 22:30:58,-46.2817,169.8464,45.36,75,100,12.46
37,Hasaki,JP,2021-10-12 22:30:58,35.7333,140.8333,63.0,87,100,22.57
38,Barrow,US,2021-10-12 22:30:59,71.2906,-156.7887,30.22,80,90,18.41
39,Ponta Do Sol,PT,2021-10-12 22:31:00,32.6667,-17.1,69.71,73,34,1.86
40,Panambi,BR,2021-10-12 22:31:00,-28.2925,-53.5017,74.03,78,11,3.62
41,Semey,KZ,2021-10-12 22:31:01,50.4111,80.2275,33.87,58,80,7.65
42,Onega,RU,2021-10-12 22:31:01,63.9061,38.1404,39.96,86,35,9.51
43,Okhotsk,RU,2021-10-12 22:31:02,59.3833,143.3,29.64,52,1,33.31
44,Krasnyy Chikoy,RU,2021-10-12 22:31:02,50.3643,108.7512,35.01,98,64,1.74
45,Faanui,PF,2021-10-12 22:31:03,-16.4833,-151.75,79.74,79,83,11.61
